"","titles"
"4313","William Optics 3.5mm  110° XWA Extreme Wide Angle 1.25 and 2inch"
"4314","TeleVue Planetary Eyepiece/Barlow Set."
"4315","Tele Vue 15 mm Plossl"
"4316","Televue 15mm and Televue 25mm"
"4317","Televue 20mm plossl...9+ condition."
"4318","REDUCED:  Televue 9mm DeLite Eyepiece"
"4319","Rare Meade 24.5mm SWA Series 4000 Japan smoothie"
"4320","Meade 12.4mm Series 4000 Japan with eyeguard"
"4321","2 - 25 mm Eyepieces, Celestron & Meade - Japan 1.25"""
"4322","Meade 5.5mm and 8.8mm UWA 1.25"""
"4323","New In Box Orion Sirius 10mm Plossl"
"4324","Wanted - .965 18mm Kellner"
"4325","Televue 16mm Nagler type2"
"4326","Celestron X-Cel 12.5mm (BRAND NEW)  MARK DOWN!!!"
"4327","Orion 12.5mm Illuminated Reticle Eyepiece"
"4328","TeleVue 32mm 1.25"" Plossl (BRAND NEW)"
"4329","Meade, Williams Optics, GSO, Celestron eyepieces, filters +"
"4330","TeleVue 8-24mm Click-Stop Zoom - Great Condition"
"4331","Vixen NLV 8-24mm Click-Stop Zoom - Excellent Condition"
"4332","Baader Hyperion 8mm Modular Eyepiece - Excellent Condition"
"4333","Televue 2"" 27mm Panoptic eyepiece"
"4334","Celestron Ultima 35...super condition, box, caps, wing guard, etc"
"4335","Baader Hyperion 5mm Modular Eyepiece - Excellent Condition"
"4336","TeleVue Radian 10mm - Excellent Condition"
"4337","Explore Scientific 16mm 68 deg Arg 1.25"" EP LNIB!"
"4338","Looking for a Televue 18.2 Delite"
"4339","Tele Vue 10mm Ethos"
"4340","Tee Vue 1.25"" Plossl Eye Piece 40.0mm Japan"
"4341","Tele Vie 1.25"" Plossl Eye Piece 32.0mm Japan"
"4342","Vintage .965 Celestron Orthoscopic 12mm JAPAN KD or KO *REDUCED*"
"4343","TeleVue Radian 14mm - Excellent Condition"
"4344","Astromania 2"" - 1.25"" Twist-lock Adapter Type II"
"4345","Celestron X-Cel LX 7mm eyepiece - EXCELLENT condition"
"4346","Meade 26mm 4000 Plossl"
"4347","Explore Scientific 20mm 100 degree EP"
"4348","2"" Zhumell Super View 30mm Eyepiece..."
"4349","16mm TeleVue Nagler, Type 2"
"4350","Tele Vue 7mm Nagler T1 eyepieces"
"4351","Wanted:  Televue Delite 15mm and 1.0 Dioptrx corrector"
"4352","Celestron 17mm Silvertop"
"4353","17mm Ethos"
"4354","TeleVue 13mm Ethos Eyepiece"
"4355","University Optics 40mm 1.25"" Kellner N.S."
"4356","Astro Optical (Japan) Or 6mm G.E. reticle eyepiece (reduced)"
"4357","3 Eyepieces + Anti-Vibration Pad Bundle"
"4358","SOLD!!! Televue 22MM Panoptic 2""/1.25"""
"4359","**REDUCED**20mm Explore Scientific 100 degree"
"4360","Meade Series 4000 4.7mm UWA Plossl ""Smoothie"""
"4361","Televue 25mm Plossl"
"4362","Tele Vue Plossl, 32mm"
"4363","12mm Nagler Type 4"
"4364","Orion 20mm Illuminated Crosshair"
"4365","Celestron 30mm pre -ultima"
"4366","Meade Series 4000 13.8mm SWA Plossl ""Smoothie"""
"4367","Reduced: ORION 3.7mm 1.25” EPIC ED-2 EYEPIECE – Excellent!"
"4368","Televue Pan 27 and Delite 15.   FOUND BOTH"
"4369","BAADER EYEPIECE TURRET W/ 4 EYEPIECES"
"4370","GSO Superview, 2"", 30mm"
"4371","Explore Scientific 11mm Eyepiece"
"4372","Tele Vue Barlow, 2x, 1.25"""
"4373","Tele Vue Plossls, 15,20,25mm"
"4374","Tele Vue Nagler 5mm, Type 6"
"4375","Vixen GA-4 Illuminated Guiding Adapter (reduced)"
"4376","Televue Jamboree"
"4377","TeleVue 4.7 mm Ethos"
"4378","SOLD! (REDUCED) Televue Panoptic 35MM"
"4379","University Optics 9mm Ortho Volcano Top"
"4380","Celestron 7mm Ortho Circle V"
"4381","Edmund RKE 12mm Eyepiece"
"4382","BAADER HYPERION 1.25""/2"" 21MM"
"4383","14mm Delos for Trade or Sale looking for an Radian & Tak Abbe"
"4384","TELEVUE 10mm DELOS-VERY CLEAN!"
"4385","Vernonscope 12mm Brandon includes shipping (Reduced)"
"4386","12mm Astrotech Paradigm eyepieces"
"4387","Celestron X-Cel LX 18mm Eyepiece"
"4388","9mm T6 nagler"
"4389","Set Of Vixen LVW Wide Angles"
"4390","Takahashi HI ortho 2.8, HI 4, 25 ortho, Tak .965 Diag set"
"4391","UNIVERSITY OPTICS 20mm ERFLE-NICE!"
"4392","CRITERION 12.7mm, 7mm and BARLOW LENS-NICE!"
"4393","University Optics 18mm Ortho ""zebra/checkered"""
"4394","TeleVue DeLite 5mm"
"4395","Celeston Ultima 18mm"
"4396","Televue 8mm Plossl 1.25"""
"4397","TMB Optical Planetary II 9mm"
"4398","Explore Scientific 82 11mm"
"4399","Wanted: Meade Boxes for SWA 28mm & 34mm"
"4400","2 Russell Optics 2-inch Eyepieces; 30mm and 8 mm"
"4401","Televue Nagler 31mm Type 5 T5 2"" eyepiece"
"4402","Televue Nagler 9mm Japan NJ"
"4403","Televue 32mm Wide Field"
"4404","Televue Nagler 13mm Japan NJ"
"4405","Televue Nagler Type 2 20mm"
"4406","3 eyepieces and 1 barlow 2x"
"4407","Meade 5000 SWA 20mm (green)"
"4408","Fujiyama HD-Orthoscopic 4mm - Price Lowered"
"4409","Vixen SLV 12mm"
"4410","Vixen SLV 4mm"
"4411","Televue Radian 10mm"
"4412","15mm meade 1.25"" new condition"
"4413","Tele Vue 6mm Delos"
"4414","Sterling Plossl 30mm"
"4415","ES 82 30mm"
"4416","8mm Vixen LVW and Meade 5mm Mega Wide (MWA)"
"4417","Televue Delos 17.3mm or Delite 18.2"
"4418","3-6 Nagler Zoom"
"4419","3.5mm Delos"
"4420","Antares Speers-Waler 14mm & 18mm 1.25"" Eyepieces"
"4421","Celestron 30mm Ultima"
"4422","Premium Eyepieces, 10-0, 12.5mm Zeiss, 7.5mm Takahashi, 12.5 U.O., 32 Er."
"4423","Celestron 18mm Ultima & Orion 10mm Ultrascopic PENDING"
"4424","BAADER 5MM HYPERION MODULAR EYEPIECE - $70 Need to sell!"
"4425","Baader 8-24mm Mark III Hyperion Zoom eyepiece   1 1/4"""
"4426","Pentax SMC 8-24mm Zoom eyepiece"
"4427","Tellevue Paracorr type 1"
"4428","Meade 28mm SWA Eyepiece"
"4429","Meade 1-A Skylight Filter"
"4430","Two TeleVue 21mm PLOSSL Circle NJ Smoothies"
"4431","Meade 6.3 Focal Reducer"
"4432","Tele Vue Panoptic 41 mm"
"4433","Meade 56mm Super Plossl"
"4434","Celestron Luminos 7mm 1.25 inch 82 degrees"
"4435","Rare- 9mm Illuminated Reticle"
"4436","UO UW80 Degree F20mm 2” EYEPIECE – Excellent Condition!"
"4437","TELEVUE 32mm 1.25” PLOSSL – Excellent Condition!"
"4438","Tele Vue 20 mm Plossl"
"4439","Tele Vue 11 mm Plossl"
"4440","Orion Sirius Plossl Eyepiece Set"
"4441","5mm Astro Tech Dual Ed Paradigm - reduced price"
"4442","25mm Sterling Plossl - reduced price"
"4443","30mm 2"" Zhumell eyepiece"
"4444","26mm 2"" elux"
"4445","Tele Vue 13mm Ethos"
"4446","10mm Delos"
"4447","Meade 34mm 5000 Series 68 Degree 2"""
"4448","Meade 40mm 5000 Series 60 Degree 2"""
"4449","9mm Circle T ortho"
"4450","University Optics 9mm HD Ortho"
"4451","35mm TeleVue Panoptic"
"4452","Explore Scientific EP's"
"4453","Tellevue 22mm Nagler"
"4454","Nice Televue Nagler 12mm Type 4 - just 250.00!!"
"4455","Nice Televue Nagler 17mm Type 4 - just 250.00!!"
"4456","University Optics 6mm HD Ortho"
"4457","Looking for a 18mm Explore Scientific eye piece"
"4458","WANTED -- ES 8,8mm 82*"
"4459","Meade Series 5000 UWA 20mm"
"4460","Meade Series 5000 UWA 14mm"
"4461","5.5mm Meade 5000"
"4462","14mm TeleVue Delos"
"4463","26mm TeleVue Nagler"
"4464","8mm Ethos"
"4465","17mm Ethos"
"4466","Nylon Cover for 16"" Dobsonian Tube Telescope"
"4467","Televue 19mm Widefield"
"4468","Vernonscope Brandon 24mm orthoscopic - REDUCED!!!"
"4469","Celestron Luminos 23mm"
"4470","Baader Hyperion 8mm LNIB REDUCED"
"4471","Set of Vintage Criterion Eyepieces - Excellent"
"4472","Celestron 40mm plossl 1.25 inch eyepiece"
"4473","Meade HD 60 series 9mm and 18mm"
"4474","WO Swan 15"
"4475","Unitron Unihex, eyepieces, more accessories / parts."
"4476","Vintage Celestron/Vixen 9mm Orthoscopic 1.25"" Japan (Circle V)"
"4477","Meade 6.4mm 4000 Series Super Plossl Japan"
"4478","Meade 20mm Research Grade wide angle lower price"
"4479","Celestron 26mm silvertop Plossl lower price"
"4480","Garrett Optical 20mm Plossl ""Taiwan"""
"4481","Nagler 11mm good optically, $125 shipped CONUS"
"4482","Panoptic 19 mm"
"4483","Delos 17.3 or Delite 18.2 mm"
"4484","Paracorr Type 1 Excellent Condition..."
"4485","Wanted: Pentax original box and paperwork for 40XW"
"4486","Baader 12.5mm Morpheus"
"4487","ES 28mm 68 degree eyepiece"
"4488","Tele Vue 15mm Plossl"
"4489","Televue Nagler 13mm T/6"
"4490","TeleVue Panoptic 24mm"
"4491","Televue Nagler 13mm Type 6 - Reduced!"
"4492","TeleVue Panoptic 19mm"
"4493","Televue Nagler 9mm Type 6"
"4494","Tele Vue 9mm Nagler - Dual Barrel"
"4495","12mm Radian"
"4496","Vintage Celestron Silvertop 26mm Plossl"
"4497","5 Element Meade Plossl"
"4498","Lunt solar wedge"
"4499","VINTAGE CLAVE 25mm 1.25” EYEPIECE – Good Condition!"
"4500","TV Radian 8 mm"
"4501","Orion ultrascopic 30mm, Celestron Ultima 19mm WA"
"4502","Baader Hyperion 8-24mm click stop zoom!!"
"4503","Like New Meade 25mm MA 1.25"" eyepiece"
"4504","Brandon 4mm eyepiece"
"4505","Tele vue 13mm Plössl smoothie"
"4506","Televue Nagler 9mm Type 6 - excellent!"
"4507","21mm ethos"
"4508","Televue 16mm Nagler Type 5"
"4509","Orion 20mm Illuminated Centering Eyepiece - REDUCED"
"4510","Meade Ultrawide Smoothies 6.7 and 4.7"
"4511","BAADER FINE TUNING RING - 28M & HYPERION T-ADAPTER"
"4512","Tele Vue Ethos 13mm - BNIB"
"4513","Televue 10.5mm Plossl"
"4514","4mm Radian (has issues)"
"4515","PRICE REDUCED 3mm Radian"
"4516","Zhumell 3mm Long Eye Relief 20mm"
"4517","4 MM Radian"
"4518","38mm Erfle 2"" eyepiece"
"4519","Baader Morpheus 9mm 76-degree Eyepiece"
"4520","TeleVue Delos 17.3 and Tele Vue Wide Field 24 in their boxes"
"4521","Televue 10.5mm Plossl, 1.8x Barlow (both Japan)"
"4522","Unitron Unihex, Duetron, more accessories / parts. Tasco lens cap"
"4523","Meade 9mm reticle eyepiece"
"4524","Televue Paracorr---Complete 2"" Newtonian Collimation kit"
"4525","Televue Nagler Type 6 7mm eyepiece"
"4526","Reduced:  VINTAGE BRANDON 1.25” EFL EYEPIECES – Good Condition!"
"4527","Explore Scientific 30mm AR 82 degree... $185 Shipped"
"4528","4.5mm Delos"
"4529","23 mm Celestron Luminos NIB"
"4530","Tele Vue 4mm Radian 1.25"" eyepiece"
"4531","Carl Zeiss 25mm ortho eyepeices in pairs"
"4532","wanted L-O-A 3D 21mm pairs"
"4533","Celestron Eyepiece Kit - New"
"4534","10.5mm Megavista"
"4535","27mm BST flat fields"
"4536","Zhumell 9mm 100 degree EP-FINAL REDUCTION"
"4537","Celestron Luminos 23mm 2"" eyepiece"
"4538","1.25"" Astro Tech Paradigm 18mm"
"4539","Meade 6.7mm UWA Series 4000 1.25"" Eyepiece - Japan"
"4540","30mm Celestron Ultima"
"4541","WO Swan 9mm"
"4542","Carl Zeiss wide angle 25mm eyepeices pairs"
"4543","3 Explore Scientific Eyepieces - 30mm, 16mm & 4.7mm"
"4544","Max vision  40mm 68 degree"
"4545","Misc. Eyepieces"
"4546","Nagler 5mm Type 6"
"4547","Older Tele Vue 32mm Plossl - JAPAN"
"4548","Meade Illuminated Reticle 9mm Plossl"
"4549","University Optics HD Ortho - Set of 4"
"4550","VernonScope Brandon Eyepieces & Dakin Barlow"
"4551","Celestron 8-24mm Zoom eyepiece"
"4552","Tele Vue 13mm Nagler Type 6 1.25"" Eyepiece"
"4553","PRICE REDUCED - TeleVue *Made in Japan* Plossls"
"4554","VIXEN LV30mm 2” EYEPIECE – Good Condition!"
"4555","Tele Vue Ethos 13mm"
"4556","Baader Q-turret and ocular set COMPLETE WANTED"
"4557","Nagler 9mm Type 1"
"4558","Baader Hyperion 8 mm Eyepiece"
"4559","Tele Vue Satin 2"" to 1.25"" Adapter"
"4560","9mm 120 degree explore scientific eyepiece."
"4561","TeleVue 6mm Delos"
"4562","TeleVue 10mm Delos"
"4563","TeleVue 17.3mm Delos"
"4564","TELEVUE 24mm PANOPTIC EYEPIECE"
"4565","TELEVUE 13mm ETHOS EYEPIECE"
"4566","ES 24mm 82 Deg Nitrogen Purged 2"" Eyepiece"
"4567","New Cheap Eyepieces"
"4568","Parks silver series 32mm plossl"
"4569","Zeiss Jena .965"" 10mm orthoscopic recticle insert"
"4570","Orion expanse or deep view EPs"
"4571","Orion Stratus 24 mm Eyepiece"
"4572","Orion Stratus 21 mm Eyepiece"
"4573","12.5 mm Orion Edge-On Planetary Eyepiece"
"4574","Pentax XW 10mm"
"4575","Explorer Scientific 30mm 82 Degrees"
"4576","Wanted: Pentax XO 2.5mm"
"4577","TV Radian 14mm"
"4578","WTB - Celestron Axiom LX 10mm eyepiece"
"4579","Tele Vue 3.7mm Ethos SX 110 degree Eyepiece"
"4580","12mm RKE"
"4581","Questar Brandon 32"
"4582","TELEVUE NAGLER 3-6 ZOOM"
"4583","WANTED 11mm ES 82 degree"
"4584","Televue Type2 Nagler 16mm"
"4585","TeleVue 10.5mm 1.25"" Plossl Smoothie Japan Circle R"
"4586","Baader Hyperion Zoom Mk III"
"4587","Orion ultrascopic 25mm pair and a 20mm EP"
"4588","University Optics ""Circle T"" VT abbe 4mm orthoscopic"
"4589","Baader Classic 32mm Plossl and Baader 2.25X Q-Turret"
"4590","Celestron 26mm Silvertop Plossl multi-coated Japan"
"4591","Nagler 5mm Type 6 or Pentax XW 5mm"
"4592","Celestron 2"" E-Lux Eyepiece, Filter, Diagonal Set"
"4593","Celestron 2"" Luminos Eyepiece - 23 mm # 93434"
"4594","TeleVue 41 Panoptic NIB"
"4595","Orion Expanse/UltraWide Eyepieces"
"4596","Meade 4000 series 1.25'' EP set. Excellent"
"4597","Kokusai Kohki Wide Scan Type II 30mm"
"4598","Televue, University Optics, Meade, Celestron, Orion eyepieces..."
"4599","Tele Vue Plossl 40mm eyepiece"
"4600","Tele Vue Panoptic 19mm eyepiece"
"4601","Baader Morpheus 14mm eyepiece"
"4602","Panoptic 35mm wanted"
"4603","Pentax SMC-XL 7mm 1.25"" Eyepiece"
"4604","Chester Brandon 6mm efl"
"4605","TeleVue 13mm 1.25"" Plossl Smoothie Japan Circle R"
"4606","TeleVue Vintage 19mm 1.25"" Wide Field Smoothie"
"4607","Nagler 3-6 Zoom"
"4608","12mm Tele Vue Delos"
"4609","Telvue 12 mm Nagler"
"4610","Tele Vue 9mm Nagler - Dual Barrel"
"4611","Tele Vue Radian 4mm"
"4612","Brandon 1.25 eyepiece set"
"4613","Explore Scientific 100-degree 14mm"
"4614","Tele Vue Ethos 6mm - LNIB"
"4615","Olivon 22mm 70-degree EP, as new"
"4616","Smooth Side 10.5mm Tele Vue Plossl - JAPAN"
"4617","Nikon O-18"
"4618","Celestron 5mm Ultima LX (2""/1.25"") w/ Caps"
"4619","3.5 mm Nagler Type 6 Eyepiece"
"4620","Nagler Panoptic 19 mm"
"4621","13 mm Nagler Type 6 Eyepiece"
"4622","25mm TeleVue Plossl"
"4623","TeleVue Dioptrx +0.75"
"4624","TeleVue 20mm Plossl"
"4625","WTB - Televue Ethos 21mm and 4.7mm"
"4626","Zeiss Abbe II ZAOII 4mm, 6mm, 10mm, 16mm"
"4627","Meade, Celestron and Orion eyepieces for sale"
"4628","Explore Scientific 6.7mm 82 degree eyepiece"
"4629","Orion Q70 26 mm"
"4630","Orion Stratus Set"
"4631","Celestron Eyepiece and Filter set + aluminum case - Nice! 1.25"""
"4632","Reduced:  ORION EXPLORER II 1.25” 7-21mm ZOOM – Excellent Condition!"
"4633","Meade Complete Set 5-Element 60-Degree Plossl Eyepiece"
"4634","Explore Scientific 68 16mm Argon Eyepiece"
"4635","Meade SWA Set Eyepieces w/ case"
"4636","12MM T4 Nagler Like New"
"4637","WANTED CELESTRON 16mm ERFLE"
"4638","Wanted!  Meade 32 SWA, Smoothie"
"4639","Wanted Celestron 25mm Plossl"
"4640","5.5mm 100 Degree Explore Scientific"
"4641","LOA 21 Neutral Eyepiece"
"4642","High Point Scientific 32mm Plossl - NEW"
"4643","Delos 12mm"
"4644","RINI Eyepiece Wanted"
"4645","Meade Plössl 25mm CCD Framing Eyepiece"
"4646","Televue Nagler Zoom 3-6mm"
"4647","Televue Barlow 3x"
"4648","Televue Powermate 5x"
"4649","Televue Plossl 11mm"
"4650","TMB SuperMonocentric 10mm"
"4651","Meade Series 5000 UWA Set Eyepieces"
"4652","Tele Vue Delos 17.3"
"4653","Eyepiece barrel or cheap eyepiece"
"4654","TELEVUE 22mm PANOPTIC-VERY CLEAN!"
"4655","Explore Scientific 68 20mm Argon Eyepiece"
"4656","Explore Scientific 16 mm Argon purged !.25"" EP"
"4657","22mm Nagler type 4 excellent condition $310 OBO"
"4658","Celestron and Vixen 1.25"" oculars all Japanese"
"4659","Tele Vue 13mm Ethos 100 degree field eyepiece"
"4660","Baader Hyperion 8 mm Eyepiece 68 degr."
"4661","12 mm type 4 Nagler"
"4662","Ethos 10mm.    or 11mm, 9mm type 6 Naglers"
"4663","Televue 3-6mm Nagler Zoom"
"4664","16.3mm Galoc wide-angle eyepiece"
"4665","Baader 8-24 Zoom Mk4"
"4666","CELESTRON EYEPIECE KIT – Excellent Condition!"
"4667","Celestron Collimation Eyepiece 1.25"""
"4668","Stellarvue 7mm 82 Degree Deep Sky Wide Angle Eyepiece"
"4669","Televue 22mm Panoptic 2"" / 1.25"" Eyepiece"
"4670","Sirius Plossl 10mm 1.25"" eyepiece with box and dust caps"
"4671","Celestron Corrector/Reducer f/6.3 (94175) Price reduced."
"4672","[Wanted] Paradigm/Starguider/Etc Dual ED 1.25"" 8mm Eyepiece"
"4673","Rare (1) Meade 13.8mm SWA Japan smoothie"
"4674","Set of Five Televue Naglers"
"4675","University Optics HD Phase II 12mm orthoscopic"
"4676","Vernonscope Brandon 2-inch 48mm orthoscopic"
"4677","20 mm 1.25 televue plossol"
"4678","10 mm Orion Lanthanum Vixen"
"4679","TV Panoptic 24mm"
"4680","Tele vue 17.3mm Delos Mint"
"4681","Televue Radians 6mm, 8mm, amd 10mm"
"4682","Orion Sirius Plossl 5 EP Set"
"4683","Orion 2"" 28mm DeepView eyepiece"
"4684","Explore Scientific 1.25"" 8.8mm, argon-purged, with box"
"4685","TeleVue 1.25"" 40mm plossl w caps baggy paper box"
"4686","Tele-Vue 9mm Nagler Type 6"
"4687","Celestron X-Cel LX Eyepiece 5mm"
"4688","2 Jaegers Vintage Eyepieces, 18mm and 12.5mm"
"4689","Tele Vue 7.4mm Plossl"
"4690","ES 82degree - 18mm / 8.8mm + 2x focal extender"
"4691","PRICED REDUCED - Televue 17mm Nagler Type 4"
"4692","Meade 32mm SWA - Made in Japan, REDUCED"
"4693","Tele vue 27mm Panoptic"
"4694","Tele vue 10mm Delos Eyepiece"
"4695","Tele vue 3.5 Delos Eyepiece"
"4696","My Brandon 8mm Gold Anodized f your black"
"4697","Nikon 12.5 wide 102 degee FOV NAV-HW"
"4698","Meopta zoom pair 30-60x like new"
"4699","Pair of 20mm William Optics Eyepieces"
"4700","Bausch and Lomb 1.25"" 30mm A.S.P. eyepiece"
"4701","Meade 9.7mm Super Plossl series 4000 1.25"" eyepiece"
"4702","Explore Scientific 11mm"
"4703","Nagler 9mm and 13mm Type 6 Eyepieces"
"4704","ES Ar purged 40 mm 68 for swap"
"4705","Vintage A. Jaegers War Surplus Wide Field Erfle large eyepiece"
"4706","Stellarvue Optimus 4.7MM 110 Degree Eyepiece"
"4707","Stellarvue Optimus 20MM 100 Degree Eyepiece"
"4708","Meade 5000 30mm 82* UWA Eyepiece"
"4709","REDUCED AGAIN - Tele Vue 6mm Delos - New"
"4710","Tele Vue 25mm Plossl"
"4711","Baader Hyperion Universal Mark III 8mm-24mm Zoom"
"4712","Radian 5 or 6mm"
"4713","Televue 13mm nagler type 6 new never used."
"4714","TMB Optical Planetary 4mm"
"4715","Pair of 20mm Silvertop Plossls"
"4716","Baader Hyperion Zoom Mark IV"
"4717","Explore Scientific 68 16mm Argon Purged"
"4718","Explore Scientific 82 8.8mm Argon Purged"
"4719","Tele Vue 4 mm DeLite Like New - Price Reduced 4mm"
"4720","Stellarvue Illuminated Reticle Eyepiece, 23mm"
"4721","Pair of Vintage Meade EP's 25/40mm, Japan"
"4722","Wood box for BRANDON Ocular set"
"4723","Takahashi 30mm LE EP"
"4724","Tele Vue 13mm Ethos"
"4725","Pentax 40XW"
"4726","17mm Ethos"
"4727","26T5 Nagler"
"4728","9mm 100 degree Explore Scentific"
"4729","14mm 100 degree Explore Scientifc"
"4730","20mm 100 degree Explore Scientific eyepiece"
"4731","University Optics 12.5 mm Orthoscopic"
"4732","Televue 17mm Nagler Type 4 $300 or best offer"
"4733","Vixen NLV 6mm Lanthanum Eyepiece 1.25"" fully multi coated"
"4734","Vixen NLV 9mm Lanthanum 1.25"" Eyepiece Fully multi coated"
"4735","Tele Vue Nagler 3-6mm Zoom Eyepiece"
"4736","Baader MPCC-VIP Multipurpose Coma Corrector"
"4737","Pentax SMC O-6"
"4738","Two inch Leica 20x eyepiece."
"4739","Televue 9mm"
"4740","Tele Vue Paracorr T1 Tunable Top 2""/1.25"" Excellent"
"4741","Celestron 1.25"" Eyepiece and Filter Kit **Reduced**"
"4742","TeleVue 32mm 1.25"" Plossl *Free Shipping*"
"4743","TeleVue 55mm 2"" Plossl Eyepiece *Free Shipping*"
"4744","Tele Vue 18.2 DeLite Like New"
"4745","Brandon 6mm"
"4746","For Sale:  Vernonscope Brandons.  24mm and 32mm"
"4747","For Sale: Vernonscope Brandon's 12mm and 16mm"
"4748","32mm BRANDON, DAKIN Wanted"
"4749","For Sale:  Vernonscope Brandon 8mm"
"4750","For Sale:  Vernonscope Brandon 6mm"
"4751","For Sale:  Edmund 28mm RKE"
"4752","BW Optik Rodenstock 40/70"
"4753","Edmund 15mm RKEs"
"4754","Explore Scientific 9mm 100*"
"4755","TV 11mm PLossl LNIB"
"4756","Tele Vue 7mm Nagler Type 6"
"4757","PENTAX 10MM XW"
"4758","TeleVue 21mm NJ smoothie"
"4759","TMB Planetary - 8mm"
"4760","ES 8.8mm LNIB"
"4761","Televue 21mm Ethos"
"4762","Wanted: 5mm X-cel"
"4763","Pair of TV 13mm Type 6 Naglers"
"4764","Luminos Eyepiece Sale"
"4765","Celestron f/6.3 Reducer Corrector (#94175)"
"4766","Antares 1.25"" 0.5x Focal Reducer"
"4767","Televue 17mm plossl"
"4768","Unique ""volcano top"" TeleVue 11mm Plossl pair"
"4769","Celstron 2"" SCT Eyepiece and filter Set"
"4770","TeleVue 10.5mm Smoothie Plossl"
"4771","13mm TeleVue Nagler Version 1"
"4772","SET OF ORION ED-2 EYEPIECES AND SOFT CASE"
"4773","19mm Panoptic"
"4774","U.O. Konigs ALL SOLD"
"4775","Televue 4.8 mm Nagler  ---SOLD---"
"4776","Questar 40-80X Vinatge w/ adapter 1.25"""
"4777","3 Celestron Ultima Duo, 21+13+8mm, case, filters"
"4778","Takahashi 25mm MC Ortho"
"4779","Vixen 14mm SSW Ultra Wide 1.25"" mint"
"4780","Orion 1.25"" Premium kit eyepieces, barlow, filters"
"4781","Explore Scientific 100deg N2 SET w/Pelican 1500 case FREE S&H REDUCED!"
"4782","Beautiful Tele Vue 4.8mm Nagler T1 from Japan"
"4783","Original Tele Vue 13mm Nagler Smoothie model made in Japan"
"4784","Explore Scientific 82 Degrees 11mm Wanted"
"4785","4 Eyepiece Set, Wide Field, Sharp Images"
"4786",".965 Eyepiece Camera T-Adapter"
"4787","Televue Delite 9mm like new"
"4788","STELLARVUE 15mm ULTRA WIDE-ANGLE EYEPIECE"
"4789","TV 10.5mm smoothie plossl"
"4790","Takahashi MC Ortho Set"
"4791","Classic Meade Wide-Angle eyepieces"
"4792","Four Nice Eyepieces"
"4793","Televue 16mm Nagler type 2"
"4794","TELE VUE 4 MM RADIAN"
"4795","Vixen 14mm SSW Ultra Wide 1.25"
"4796","Classic Meade Super Plossls"
"4797","ES 4.7mm 82 degree eyepiece"
"4798","SOLD  13mm Nagler type 6"
"4799","SOLD 16mm Nagler type 5 SOLD"
"4800","Meade RG 20"
"4801","(2) Meade 26mm Series 4000 Japan 5-element smoothie"
"4802","Meade 15mm Series 4000 Japan 5-element smoothie"
"4803","TS Optics SWA 100 degree 5mm eyepiece (price reduced)"
"4804","Meade 14 LX200GPS rear cell threaded back"
"4805","Meade 9.7mm Series 4000 Japan 5-element smoothie"
"4806","Old Edmund Sci 28mm RKE"
"4807","Early Japanese Tele Vue 26mm Plossl"
"4808","Explore Scientific 100deg N2 SET w/Pelican 1500 case FREE S&H"
"4809","TeleVue 21mm NJ smoothie"
"4810","Televue 11mm Nagler type 1 smoothie original condition"
"4811","Vernonscope Brandon 2.4X Dakin barlow"
"4812","Vernonscope Brandon 12mm (flat top) short barrel eyepiece"
"4813","Nice Televue Nagler 31mm newer style"
"4814","Televue 26mm ""smoothie"" plossl"
"4815","WANTED  -- Tele Vue 7mm DeLite"
"4816","Celestron 8-24mm zoom"
"4817","13mm Baader Hyperion"
"4818","21mm Baader Hyperion"
"4819","Televue 12mm Nagler T4"
"4820","Televue 17mm Nagler T4"
"4821","Tele Vue Plossl Eyepiece - 13.0 mm"
"4822","Vernonscope Brandon 1.25X Magic Dakin barlow"
"4823","Meade 14mm UWA Series 4000 Japan smoothie"
"4824","Orion Ultrascopics!!!"
"4825","Circle T Volcano-top generic 12.5mm ortho"
"4826","Antares f/6.3 Focal Reducer for SCT Scopes"
"4827","Tele vue 12mm Delos Mint"
"4828","L-O-A 3D Neutral Eyepiece"
"4829","Takahashi 3.6mm LE Eyepiece"
"4830","Carl Zeiss W-PL 10X 23 Pair"
"4831","Celestron 30 mm .965"" Eyepiece"
"4832","Baader Q Turret – Quadruplet 1.25” Revolving Eyepiece Holder"
"4833","HighPoint 42mm SuperView 2"""
"4834","Pentax 14 XW"
"4835","University Optics Pro series 4mm Flat top Ortho"
"4836","Televue 31mm type5, 13mm ethos and 20mm type 5 and 2"" big barlow"
"4837","Meade 14mm UWA Series 4000 Japan smoothie"
"4838","Televue 1.25"" 40mm NJ smooth-side"
"4839","ES 18mm Argon 82deg 2"" Explore Scientific"
"4840","CZJ (Carl Zeiss Jena) 25-H and 16-H eyepeices"
"4841","Celestron 26mm Halloween Plossl MC"
"4842","University Optics HD Phase II 12mm orthoscopic"
"4843","University Optics 12.5mm volcano top circle T"
"4844","University Optics Zebra Plossls"
"4845","Meade HD-60 12mm eyepiece pair"
"4846","Garrett Binocular telescope eyepiece's"
"4847","TeleVue Nagler 12mm T4"
"4848","TeleVue Nagler 17mm T4"
"4849","48mm Brandon eyepiece"
"4850","Meade 26mm & 9.7mm Super Plossl Eyepieces"
"4851","Baader Mk III Hyperion 8-24 zoom"
"4852","William Optics 28mm UWA 82 degree Nagler Killer"
"4853","Celestron Ultima 12.5 ( Japan)"
